# day month year mean_outside_temp_monthly_view electricity_consumption_heating output_heating mean_outside_temp_daily_view
17 07 24 11.8 2.5 12.5 16.3
18 07 24 14.8 2.7 14.3 15.8
19 07 24 15.1 1.4 7.2 17.9
20 07 24 17.1 1.9 10.3 17.7
21 07 24 13.7 3.9 19.7 13.9
22 07 24 12.8 2.5 12.8 15.6
23 07 24 13.7 2.1 11.0 16.7
24 07 24 15.1 2.3 11.4 16.8
25 07 24 15.4 2.4 13.3 16.2
26 07 24 12.2 3.4 17.6 14.8
27 07 24 12.3 3.0 16.5 15.4
28 07 24 12.0 2.7 14.4 16.8
29 07 24 14.7 1.9 9.7 16.8
30 07 24 14.8 2.1 10.9 16.3
31 07 24 9.1 4.9 22.3 13.8
1 08 24 14.0 1.9 9.3 17.2
2 08 24 13.3 2.2 11.1 16.2
3 08 24 13.4 2.9 13.5 15.0
4 08 24 13.1 3.5 19.2 14.7
5 08 24 15.1 1.2 6.0 19.2
6 08 24 17.4 2.2 11.6 16.4
7 08 24 13.6 3.4 17.8 14.4
8 08 24 12.7 2.8 15.0 15.3
9 08 24 15.3 3.3 17.3 14.8
10 08 24 12.2 2.9 15.4 15.1
11 08 24 11.1 2.6 13.2 16.2
12 08 24 16.2 1.6 7.6 17.7
13 08 24 14.0 2.8 14.8 15.0
14 08 24 11.6 3.6 18.0 14.8
15 08 24 14.3 3.4 17.7 14.6
16 08 24 10.0 4.3 21.8 13.7
17 08 24 12.0 5.0 26.8 13.6
18 08 24 12.2 4.5 23.6 13.7
19 08 24 11.7 4.7 24.8 13.8
20 08 24 14.8 5.1 27.5 13.3
21 08 24 10.3 6.2 33.1 12.6
22 08 24 13.7 5.0 26.9 14.2
23 08 24 11.7 6.6 34.7 12.5
24 08 24 10.0 7.0 35.7 12.1
25 08 24 9.7 7.5 38.5 11.6
26 08 24 11.3 5.8 30.9 13.6
27 08 24 14.2 3.3 17.6 16.0
28 08 24 14.8 3.5 18.1 16.0
29 08 24 12.2 4.7 24.7 13.5
30 08 24 10.7 5.9 29.7 12.9
31 08 24 9.3 7.5 35.2 12.2
01 09 24 11.3 5.0 27.1 13.7
02 09 24 13.9 4.5 24.9 13.9
03 09 24 11.1 NaN NaN 11.3
04 09 24 14.2 NaN NaN 12.7
05 09 24 11.3 6.6 36.2 12.1
06 09 24 12.7 5.0 27.7 13.9
07 09 24 13.3 3.9 20.8 14.8
08 09 24 14.0 4.4 23.1 13.8
09 09 24 12.2 6.4 33.6 11.5
10 09 24 11.6 8.6 43.4 10.3
11 09 24 5.5 14.5 63.8 7.8
